biosample_id,accession,organism,strain,isolation_source,host,collection_date,geo_loc_name,amr_genotypes,amr_phenotypes,disease,sra_accession,assembly_accession,assembly_status,ftp_path_refseq,ftp_path_genbank,organism_query
54872780,SAMN54872780,,,urine,Homo sapiens,2026,USA,,,,,,,,,Acinetobacter baumannii
54872779,SAMN54872779,,,wound,Homo sapiens,2026,USA,,,,,,,,,Acinetobacter baumannii
54872778,SAMN54872778,,,sputum,Homo sapiens,2026,USA,,,,,,,,,Acinetobacter baumannii
54872777,SAMN54872777,,,Tissue,Homo sapiens,2026,USA,,,,,,,,,Acinetobacter baumannii
54872594,SAMN54872594,,,respiratory,Homo sapiens,2025,USA,,,,,,,,,Acinetobacter baumannii
54870557,SAMN54870557,,2026EP-00001,urine,Homo sapiens,2025,USA,,,,,,,,,Acinetobacter baumannii
54870556,SAMN54870556,,2026EP-00010,wound,Homo sapiens,2025,USA,,,,,,,,,Acinetobacter baumannii
54870049,SAMN54870049,,,wound,Homo sapiens,2025,USA,,,,,,,,,Acinetobacter baumannii
54870048,SAMN54870048,,,urine,Homo sapiens,2026,USA,,,,,,,,,Acinetobacter baumannii
54870012,SAMN54870012,,,wound,Homo sapiens,2025,USA,,,,,,,,,Acinetobacter baumannii
54870011,SAMN54870011,,,Deep Sacral Wound Swab,Homo sapiens,2025,USA,,,,,,,,,Acinetobacter baumannii
54810324,SAMN54810324,,M4,environment,,2024-09,China: Huizhou,,,,,,,,,Acinetobacter baumannii
54804744,SAMN54804744,,,,Homo sapiens,,,,,,,,,,,Acinetobacter baumannii
54804743,SAMN54804743,,,,Homo sapiens,,,,,,,,,,,Acinetobacter baumannii
54804739,SAMN54804739,,,,Homo sapiens,,,,,,,,,,,Acinetobacter baumannii
54804738,SAMN54804738,,,,Homo sapiens,,,,,,,,,,,Acinetobacter baumannii
54804733,SAMN54804733,,,,Homo sapiens,,,,,,,,,,,Acinetobacter baumannii
54804732,SAMN54804732,,,,Homo sapiens,,,,,,,,,,,Acinetobacter baumannii
54804731,SAMN54804731,,,,Homo sapiens,,,,,,,,,,,Acinetobacter baumannii
54804730,SAMN54804730,,,,Homo sapiens,,,,,,,,,,,Acinetobacter baumannii
54803415,SAMN54803415,,,OT,Homo sapiens,2026-01-02,USA,,,,,GCA_054656435.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/656/435/GCA_054656435.1_PDT003064281.1,Acinetobacter baumannii
54802198,SAMN54802198,,,Tissue,Homo sapiens,2025-10-24,USA,,,,,GCA_054651715.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/651/715/GCA_054651715.1_PDT003063932.1,Acinetobacter baumannii
54802197,SAMN54802197,,,Wound/Abscess,Homo sapiens,2025-10-14,USA,,,,,GCA_054651675.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/651/675/GCA_054651675.1_PDT003063933.1,Acinetobacter baumannii
54802196,SAMN54802196,,,Tissue,Homo sapiens,2025-10-31,USA,,,,,GCA_054651785.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/651/785/GCA_054651785.1_PDT003063924.1,Acinetobacter baumannii
54802195,SAMN54802195,,,urine,Homo sapiens,2025-10-02,USA,,,,,GCA_054651775.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/651/775/GCA_054651775.1_PDT003063925.1,Acinetobacter baumannii
