biosample_id,accession,organism,strain,isolation_source,host,collection_date,geo_loc_name,amr_genotypes,amr_phenotypes,disease,sra_accession,assembly_accession,assembly_status,ftp_path_refseq,ftp_path_genbank,organism_query
46044132,SAMN46044132,,R20291,human feces,Homo sapiens,2006,United Kingdom,,,,,,,,,Clostridioides difficile
46044131,SAMN46044131,,R20291,human feces,Homo sapiens,2006,United Kingdom,,,,,,,,,Clostridioides difficile
46044130,SAMN46044130,,R20291,human feces,Homo sapiens,2006,United Kingdom,,,,,,,,,Clostridioides difficile
46044129,SAMN46044129,,R20291,human feces,Homo sapiens,2006,United Kingdom,,,,,,,,,Clostridioides difficile
46044128,SAMN46044128,,R20291,human feces,Homo sapiens,2006,United Kingdom,,,,,,,,,Clostridioides difficile
46044127,SAMN46044127,,R20291,human feces,Homo sapiens,2006,United Kingdom,,,,,,,,,Clostridioides difficile
46044126,SAMN46044126,,R20291_Tn::hcpR,human feces,Homo sapiens,2021,USA,,,,,,,,,Clostridioides difficile
46044125,SAMN46044125,,R20291_Tn::hcpR,human feces,Homo sapiens,2021,USA,,,,,,,,,Clostridioides difficile
46044124,SAMN46044124,,R20291_Tn::hcpR,human feces,Homo sapiens,2021,USA,,,,,,,,,Clostridioides difficile
46044123,SAMN46044123,,R20291_Tn::hcpR,human feces,Homo sapiens,2021,USA,,,,,,,,,Clostridioides difficile
46044122,SAMN46044122,,R20291_Tn::hcpR,human feces,Homo sapiens,2021,USA,,,,,,,,,Clostridioides difficile
46044121,SAMN46044121,,R20291_Tn::hcpR,human feces,Homo sapiens,2021,USA,,,,,,,,,Clostridioides difficile
54587488,SAMN54587488,,HCD81.2/22,feces,Homo sapiens,2022,Brazil: Minas gerais; Belo horizonte,,,,,,,,,Clostridioides difficile
54587487,SAMN54587487,,HEcd,feces,Homo sapiens,2021,Brazil: Rio de Janeiro; Rio de Janeiro,,,,,,,,,Clostridioides difficile
54575197,SAMN54575197,,ATCC 630,unknown,unknown,unknown,unknown,,,,,,,,,Clostridioides difficile
54575196,SAMN54575196,,ATCC 630,unknown,unknown,unknown,unknown,,,,,,,,,Clostridioides difficile
54575195,SAMN54575195,,ATCC 630,unknown,unknown,unknown,unknown,,,,,,,,,Clostridioides difficile
54575194,SAMN54575194,,ATCC 630,unknown,unknown,unknown,unknown,,,,,,,,,Clostridioides difficile
54575193,SAMN54575193,,ATCC 630,unknown,unknown,unknown,unknown,,,,,,,,,Clostridioides difficile
54575192,SAMN54575192,,ATCC 630,unknown,unknown,unknown,unknown,,,,,,,,,Clostridioides difficile
54575191,SAMN54575191,,ATCC 630,unknown,unknown,unknown,unknown,,,,,,,,,Clostridioides difficile
54575190,SAMN54575190,,ATCC 630,unknown,unknown,unknown,unknown,,,,,,,,,Clostridioides difficile
54575189,SAMN54575189,,ATCC 630,unknown,unknown,unknown,unknown,,,,,,,,,Clostridioides difficile
48791028,SAMN48791028,,630deltaerm,Laboratory,,2024-07-08,USA: Atlanta,,,,,,,,,Clostridioides difficile
