biosample_id,accession,organism,strain,isolation_source,host,collection_date,geo_loc_name,amr_genotypes,amr_phenotypes,disease,sra_accession,assembly_accession,assembly_status,ftp_path_refseq,ftp_path_genbank,organism_query
54875852,SAMN54875852,,,mobile device,,2020-06,Germany: Frankfurt am Main,,,,,,,,,Enterococcus faecium
54875851,SAMN54875851,,,mobile device,,2020-06,Germany: Frankfurt am Main,,,,,,,,,Enterococcus faecium
54875850,SAMN54875850,,,mobile device,,2020-06,Germany: Frankfurt am Main,,,,,,,,,Enterococcus faecium
54875849,SAMN54875849,,,mobile device,,2020-06,Germany: Frankfurt am Main,,,,,,,,,Enterococcus faecium
54875848,SAMN54875848,,,mobile device,,2019-07,Germany: Frankfurt am Main,,,,,,,,,Enterococcus faecium
54875847,SAMN54875847,,,mobile device,,2019-07,Germany: Frankfurt am Main,,,,,,,,,Enterococcus faecium
54875846,SAMN54875846,,,mobile device,,2019-07,Germany: Frankfurt am Main,,,,,,,,,Enterococcus faecium
54875845,SAMN54875845,,,mobile device,,2019-07,Germany: Frankfurt am Main,,,,,,,,,Enterococcus faecium
54875844,SAMN54875844,,,mobile device,,2019-07,Germany: Frankfurt am Main,,,,,,,,,Enterococcus faecium
54875843,SAMN54875843,,,mobile device,,2019-07,Germany: Frankfurt am Main,,,,,,,,,Enterococcus faecium
54875842,SAMN54875842,,,mobile device,,2019-06,Germany: Frankfurt am Main,,,,,,,,,Enterococcus faecium
54875841,SAMN54875841,,,mobile device,,2019-06,Germany: Frankfurt am Main,,,,,,,,,Enterococcus faecium
54875840,SAMN54875840,,,mobile device,,2019-05,Germany: Frankfurt am Main,,,,,,,,,Enterococcus faecium
54875839,SAMN54875839,,,mobile device,,2019-05,Germany: Frankfurt am Main,,,,,,,,,Enterococcus faecium
54875838,SAMN54875838,,,mobile device,,2019-05,Germany: Frankfurt am Main,,,,,,,,,Enterococcus faecium
54875837,SAMN54875837,,,mobile device,,2019-05,Germany: Frankfurt am Main,,,,,,,,,Enterococcus faecium
54875836,SAMN54875836,,,mobile device,,2019-05,Germany: Frankfurt am Main,,,,,,,,,Enterococcus faecium
54875835,SAMN54875835,,,mobile device,,2019-05,Germany: Frankfurt am Main,,,,,,,,,Enterococcus faecium
54875834,SAMN54875834,,,mobile device,,2019-05,Germany: Frankfurt am Main,,,,,,,,,Enterococcus faecium
54875833,SAMN54875833,,,mobile device,,2018-05,Germany: Frankfurt am Main,,,,,,,,,Enterococcus faecium
54875832,SAMN54875832,,,mobile device,,2018-05,Germany: Frankfurt am Main,,,,,,,,,Enterococcus faecium
54875831,SAMN54875831,,,mobile device,,2018-05,Germany: Frankfurt am Main,,,,,,,,,Enterococcus faecium
54875830,SAMN54875830,,,mobile device,,2018-04,Germany: Frankfurt am Main,,,,,,,,,Enterococcus faecium
54875829,SAMN54875829,,,mobile device,,2018-03,Germany: Frankfurt am Main,,,,,,,,,Enterococcus faecium
54875828,SAMN54875828,,,mobile device,,2018-04,Germany: Frankfurt am Main,,,,,,,,,Enterococcus faecium
54875827,SAMN54875827,,,mobile device,,2018-04,Germany: Frankfurt am Main,,,,,,,,,Enterococcus faecium
54803515,SAMN54803515,,UMB10283,,Homo sapiens,NA,NA,,,,,,,,,Enterococcus faecium
54803490,SAMN54803490,,FSIS12642608,Animal-Swine-Sow (cecal),,2026,USA:VA,,,,,GCA_054656315.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/656/315/GCA_054656315.1_PDT003064286.1,Enterococcus faecium
54803419,SAMN54803419,,FSIS12642605,Animal-Cattle-Beef Cow (cecal),,2026,USA:CA,,,,,GCA_054656395.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/656/395/GCA_054656395.1_PDT003064284.1,Enterococcus faecium
54803413,SAMN54803413,,FSIS12642604,Animal-Swine-Market Swine (cecal),,2026,USA:TN,,,,,GCA_054656495.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/656/495/GCA_054656495.1_PDT003064278.1,Enterococcus faecium
54803377,SAMN54803377,,FSIS12642600,Animal-Swine-Sow (cecal),,2026,USA:TN,,,,,GCA_054656625.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/656/625/GCA_054656625.1_PDT003064269.1,Enterococcus faecium
54803376,SAMN54803376,,FSIS12642502,Animal-Cattle-Dairy Cow (cecal),,2025,USA:OK,,,,,GCA_054656635.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/656/635/GCA_054656635.1_PDT003064271.1,Enterococcus faecium
54803284,SAMN54803284,,FSIS12642496,Animal-Cattle-Steer (cecal),,2025,USA:KS,,,,,,,,,Enterococcus faecium
54798594,SAMN54798594,,A115_1,outpatient,,2025-03-17,China: Zhejiang,,,,,,,,,Enterococcus faecium
54798592,SAMN54798592,,A110_8,outpatient,,2025-03-17,China: Zhejiang,,,,,,,,,Enterococcus faecium
54798591,SAMN54798591,,A110_5,outpatient,,2025-03-17,China: Zhejiang,,,,,,,,,Enterococcus faecium
54798590,SAMN54798590,,A105_5,outpatient,,2025-03-17,China: Zhejiang,,,,,,,,,Enterococcus faecium
54798589,SAMN54798589,,A104_2,outpatient,,2025-03-17,China: Zhejiang,,,,,,,,,Enterococcus faecium
54798588,SAMN54798588,,A103_7,outpatient,,2025-03-17,China: Zhejiang,,,,,,,,,Enterococcus faecium
54798587,SAMN54798587,,A103_5,outpatient,,2025-03-17,China: Zhejiang,,,,,,,,,Enterococcus faecium
54798586,SAMN54798586,,A98_8,outpatient,,2024-12-27,China: Zhejiang,,,,,,,,,Enterococcus faecium
54798585,SAMN54798585,,A98_4,outpatient,,2024-12-27,China: Zhejiang,,,,,,,,,Enterococcus faecium
54798584,SAMN54798584,,A94_8,outpatient,,2024-12-27,China: Zhejiang,,,,,,,,,Enterococcus faecium
54798583,SAMN54798583,,A90_8,emergency,,2024-12-27,China: Zhejiang,,,,,,,,,Enterococcus faecium
54798582,SAMN54798582,,A90_3,emergency,,2024-12-27,China: Zhejiang,,,,,,,,,Enterococcus faecium
54798580,SAMN54798580,,A87_3,emergency,,2024-12-27,China: Zhejiang,,,,,,,,,Enterococcus faecium
54798579,SAMN54798579,,A86_6,emergency,,2024-12-27,China: Zhejiang,,,,,,,,,Enterococcus faecium
54798578,SAMN54798578,,A85_3,outpatient,,2024-12-27,China: Zhejiang,,,,,,,,,Enterococcus faecium
54798577,SAMN54798577,,A84_8,outpatient,,2024-12-27,China: Zhejiang,,,,,,,,,Enterococcus faecium
54798576,SAMN54798576,,A83_3,outpatient,,2024-12-27,China: Zhejiang,,,,,,,,,Enterococcus faecium
54798575,SAMN54798575,,A83_2,outpatient,,2024-12-27,China: Zhejiang,,,,,,,,,Enterococcus faecium
54798574,SAMN54798574,,A83_1,outpatient,,2024-12-27,China: Zhejiang,,,,,,,,,Enterococcus faecium
54798573,SAMN54798573,,A82_8,outpatient,,2024-12-27,China: Zhejiang,,,,,,,,,Enterococcus faecium
54798572,SAMN54798572,,A82_7,outpatient,,2024-12-27,China: Zhejiang,,,,,,,,,Enterococcus faecium
54798571,SAMN54798571,,A82_2,outpatient,,2024-12-27,China: Zhejiang,,,,,,,,,Enterococcus faecium
54798570,SAMN54798570,,A78_6,outpatient,,2024-12-27,China: Zhejiang,,,,,,,,,Enterococcus faecium
54798569,SAMN54798569,,A78_4,outpatient,,2024-12-27,China: Zhejiang,,,,,,,,,Enterococcus faecium
54798568,SAMN54798568,,A78_3,outpatient,,2024-12-27,China: Zhejiang,,,,,,,,,Enterococcus faecium
54798567,SAMN54798567,,A77_1,emergency,,2024-12-27,China: Zhejiang,,,,,,,,,Enterococcus faecium
54798566,SAMN54798566,,A76_7,emergency,,2024-12-27,China: Zhejiang,,,,,,,,,Enterococcus faecium
54798565,SAMN54798565,,A76_2,emergency,,2024-12-27,China: Zhejiang,,,,,,,,,Enterococcus faecium
54798564,SAMN54798564,,A70_7,emergency,,2024-12-27,China: Zhejiang,,,,,,,,,Enterococcus faecium
54798563,SAMN54798563,,A58_4,emergency,,2024-12-27,China: Zhejiang,,,,,,,,,Enterococcus faecium
54798561,SAMN54798561,,A51_5,emergency,,2024-12-27,China: Zhejiang,,,,,,,,,Enterococcus faecium
54798560,SAMN54798560,,A50_7,emergency,,2024-12-27,China: Zhejiang,,,,,,,,,Enterococcus faecium
54798559,SAMN54798559,,A50_6,emergency,,2024-12-27,China: Zhejiang,,,,,,,,,Enterococcus faecium
54798558,SAMN54798558,,A27_1,emergency,,2024-12-27,China: Zhejiang,,,,,,,,,Enterococcus faecium
54798557,SAMN54798557,,A19_3,outpatient,,2024-12-27,China: Zhejiang,,,,,,,,,Enterococcus faecium
54773705,SAMN54773705,,BM4105RF-LTVRE-4,,Homo sapiens,2025,China,,,,,,,,,Enterococcus faecium
54773704,SAMN54773704,,BM4105RF-LTVRE-3,,Homo sapiens,2025,China,,,,,,,,,Enterococcus faecium
54773703,SAMN54773703,,BM4105RF-LTVRE-2,,Homo sapiens,2025,China,,,,,,,,,Enterococcus faecium
54773702,SAMN54773702,,BM4105RF-LTVRE-1,,Homo sapiens,2025,China,,,,,,,,,Enterococcus faecium
54773701,SAMN54773701,,LTVRE-03,,Homo sapiens,2025,China,,,,,,,,,Enterococcus faecium
54773700,SAMN54773700,,LTVRE-02,,Homo sapiens,2024,China,,,,,,,,,Enterococcus faecium
54773699,SAMN54773699,,LTVRE-01,,Homo sapiens,2024,China,,,,,,,,,Enterococcus faecium
46890160,SAMN46890160,,,stool,,not applicable,missing,,,,,,,,,Enterococcus faecium
46889774,SAMN46889774,,,stool,,not applicable,missing,,,,,,,,,Enterococcus faecium
54706158,SAMN54706158,,X74659-Efm,not collected,Homo sapiens,2018-11-18,USA:Detroit,,,,,,,,,Enterococcus faecium
54706157,SAMN54706157,,X68934-Efm,not collected,Homo sapiens,2019-06-09,USA:Detroit,,,,,,,,,Enterococcus faecium
54706156,SAMN54706156,,X41440-Efm,not collected,Homo sapiens,2019-01-20,USA:Detroit,,,,,,,,,Enterococcus faecium
54706155,SAMN54706155,,X30682-Efm,not collected,Homo sapiens,2019-01-06,USA:Detroit,,,,,,,,,Enterococcus faecium
54706154,SAMN54706154,,X30419-Efm,not collected,Homo sapiens,2019-04-21,USA:Detroit,,,,,,,,,Enterococcus faecium
54706153,SAMN54706153,,X29559-Efm,not collected,Homo sapiens,2018-05-21,USA:Detroit,,,,,,,,,Enterococcus faecium
