biosample_id,accession,organism,strain,isolation_source,host,collection_date,geo_loc_name,amr_genotypes,amr_phenotypes,disease,sra_accession,assembly_accession,assembly_status,ftp_path_refseq,ftp_path_genbank,organism_query
54765081,SAMN54765081,,,blood,Homo sapiens,2026,USA,,,,,GCA_054584255.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/584/255/GCA_054584255.1_PDT003061572.1,Haemophilus influenzae
54765080,SAMN54765080,,,blood,Homo sapiens,2026,USA,,,,,GCA_054584235.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/584/235/GCA_054584235.1_PDT003061573.1,Haemophilus influenzae
54765079,SAMN54765079,,,CSF,Homo sapiens,2026,USA,,,,,GCA_054584175.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/584/175/GCA_054584175.1_PDT003061574.1,Haemophilus influenzae
54765078,SAMN54765078,,,blood,Homo sapiens,2026,USA,,,,,GCA_054584155.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/584/155/GCA_054584155.1_PDT003061575.1,Haemophilus influenzae
54765077,SAMN54765077,,,blood,Homo sapiens,2026,USA,,,,,GCA_054584135.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/584/135/GCA_054584135.1_PDT003061576.1,Haemophilus influenzae
54765076,SAMN54765076,,,blood,Homo sapiens,2026,USA,,,,,GCA_054584115.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/584/115/GCA_054584115.1_PDT003061577.1,Haemophilus influenzae
46265006,SAMN46265006,,rRdS,,Homo sapiens,2024,Spain,,,,,,,,,Haemophilus influenzae
46265005,SAMN46265005,,rRdS,,Homo sapiens,2024,Spain,,,,,,,,,Haemophilus influenzae
46265004,SAMN46265004,,rRdS,,Homo sapiens,2024,Spain,,,,,,,,,Haemophilus influenzae
46265003,SAMN46265003,,rRdS,,Homo sapiens,2024,Spain,,,,,,,,,Haemophilus influenzae
46265002,SAMN46265002,,rRdS,,Homo sapiens,2024,Spain,,,,,,,,,Haemophilus influenzae
46265001,SAMN46265001,,rRdS,,Homo sapiens,2024,Spain,,,,,,,,,Haemophilus influenzae
46265000,SAMN46265000,,rRdS,,Homo sapiens,2024,Spain,,,,,,,,,Haemophilus influenzae
46264999,SAMN46264999,,rRdS,,Homo sapiens,2024,Spain,,,,,,,,,Haemophilus influenzae
46264998,SAMN46264998,,rRdS,,Homo sapiens,2024,Spain,,,,,,,,,Haemophilus influenzae
46264997,SAMN46264997,,rRdS,,Homo sapiens,2024,Spain,,,,,,,,,Haemophilus influenzae
46264996,SAMN46264996,,rRdS,,Homo sapiens,2024,Spain,,,,,,,,,Haemophilus influenzae
46264995,SAMN46264995,,rRdS,,Homo sapiens,2024,Spain,,,,,,,,,Haemophilus influenzae
46264994,SAMN46264994,,rRdS,,Homo sapiens,2024,Spain,,,,,,,,,Haemophilus influenzae
46264993,SAMN46264993,,rRdS,,Homo sapiens,2024,Spain,,,,,,,,,Haemophilus influenzae
46264992,SAMN46264992,,rRdS,,Homo sapiens,2024,Spain,,,,,,,,,Haemophilus influenzae
46264991,SAMN46264991,,rRdS,,Homo sapiens,2024,Spain,,,,,,,,,Haemophilus influenzae
46264990,SAMN46264990,,rRdS,,Homo sapiens,2024,Spain,,,,,,,,,Haemophilus influenzae
46264989,SAMN46264989,,rRdS,,Homo sapiens,2024,Spain,,,,,,,,,Haemophilus influenzae
46264988,SAMN46264988,,rRdS,,Homo sapiens,2024,Spain,,,,,,,,,Haemophilus influenzae
46264987,SAMN46264987,,rRdS,,Homo sapiens,2024,Spain,,,,,,,,,Haemophilus influenzae
46264986,SAMN46264986,,rRdS,,Homo sapiens,2024,Spain,,,,,,,,,Haemophilus influenzae
46264985,SAMN46264985,,rRdS,,Homo sapiens,2024,Spain,,,,,,,,,Haemophilus influenzae
46264984,SAMN46264984,,rRdS,,Homo sapiens,2024,Spain,,,,,,,,,Haemophilus influenzae
46264983,SAMN46264983,,rRdS,,Homo sapiens,2024,Spain,,,,,,,,,Haemophilus influenzae
46264982,SAMN46264982,,rRdS,,Homo sapiens,2024,Spain,,,,,,,,,Haemophilus influenzae
46264981,SAMN46264981,,rRdS,,Homo sapiens,2024,Spain,,,,,,,,,Haemophilus influenzae
46264980,SAMN46264980,,rRdS,,Homo sapiens,2024,Spain,,,,,,,,,Haemophilus influenzae
46264979,SAMN46264979,,rRdS,,Homo sapiens,2024,Spain,,,,,,,,,Haemophilus influenzae
46264978,SAMN46264978,,rRdS,,Homo sapiens,2024,Spain,,,,,,,,,Haemophilus influenzae
46264977,SAMN46264977,,rRdS,,Homo sapiens,2024,Spain,,,,,,,,,Haemophilus influenzae
46264966,SAMN46264966,,rRdS,,Homo sapiens,2024,Spain,,,,,,,,,Haemophilus influenzae
