biosample_id,accession,organism,strain,isolation_source,host,collection_date,geo_loc_name,amr_genotypes,amr_phenotypes,disease,sra_accession,assembly_accession,assembly_status,ftp_path_refseq,ftp_path_genbank,organism_query
54804773,SAMN54804773,,,,Homo sapiens,,,,,,,,,,,Neisseria gonorrhoeae
54804767,SAMN54804767,,,,Homo sapiens,,,,,,,,,,,Neisseria gonorrhoeae
54801242,SAMN54801242,,GCWGS-34190,pathogen.cl,Homo sapiens,2025-12,USA:9,,,,,,,,,Neisseria gonorrhoeae
54801241,SAMN54801241,,GCWGS-34189,pathogen.cl,Homo sapiens,2025-12,USA:9,,,,,,,,,Neisseria gonorrhoeae
54801240,SAMN54801240,,GCWGS-34187,pathogen.cl,Homo sapiens,2025-12,USA:9,,,,,,,,,Neisseria gonorrhoeae
54801239,SAMN54801239,,GCWGS-34186,pathogen.cl,Homo sapiens,2025-12,USA:9,,,,,,,,,Neisseria gonorrhoeae
54801238,SAMN54801238,,GCWGS-34185,pathogen.cl,Homo sapiens,2025-12,USA:9,,,,,,,,,Neisseria gonorrhoeae
54801237,SAMN54801237,,GCWGS-34184,pathogen.cl,Homo sapiens,2025-12,USA:9,,,,,,,,,Neisseria gonorrhoeae
54801236,SAMN54801236,,GCWGS-34183,pathogen.cl,Homo sapiens,2025-12,USA:9,,,,,,,,,Neisseria gonorrhoeae
54801235,SAMN54801235,,GCWGS-34181,pathogen.cl,Homo sapiens,2025-12,USA:9,,,,,,,,,Neisseria gonorrhoeae
54801234,SAMN54801234,,GCWGS-34180,pathogen.cl,Homo sapiens,2025-12,USA:9,,,,,,,,,Neisseria gonorrhoeae
54801233,SAMN54801233,,GCWGS-34179,pathogen.cl,Homo sapiens,2025-12,USA:9,,,,,,,,,Neisseria gonorrhoeae
54801232,SAMN54801232,,GCWGS-34178,pathogen.cl,Homo sapiens,2025-11,USA:8,,,,,,,,,Neisseria gonorrhoeae
54801231,SAMN54801231,,GCWGS-34177,pathogen.cl,Homo sapiens,2025-11,USA:8,,,,,,,,,Neisseria gonorrhoeae
54801230,SAMN54801230,,GCWGS-34176,pathogen.cl,Homo sapiens,2025-11,USA:8,,,,,,,,,Neisseria gonorrhoeae
54801229,SAMN54801229,,GCWGS-34175,pathogen.cl,Homo sapiens,2025-11,USA:8,,,,,,,,,Neisseria gonorrhoeae
54801228,SAMN54801228,,GCWGS-34174,pathogen.cl,Homo sapiens,2025-11,USA:8,,,,,,,,,Neisseria gonorrhoeae
54801227,SAMN54801227,,GCWGS-34173,pathogen.cl,Homo sapiens,2025-11,USA:8,,,,,,,,,Neisseria gonorrhoeae
54801226,SAMN54801226,,GCWGS-34172,pathogen.cl,Homo sapiens,2025-11,USA:8,,,,,,,,,Neisseria gonorrhoeae
54801225,SAMN54801225,,GCWGS-34171,pathogen.cl,Homo sapiens,2025-11,USA:8,,,,,,,,,Neisseria gonorrhoeae
54801224,SAMN54801224,,GCWGS-34170,pathogen.cl,Homo sapiens,2025-11,USA:9,,,,,,,,,Neisseria gonorrhoeae
54801223,SAMN54801223,,GCWGS-34169,pathogen.cl,Homo sapiens,2025-11,USA:9,,,,,,,,,Neisseria gonorrhoeae
54801222,SAMN54801222,,GCWGS-34168,pathogen.cl,Homo sapiens,2025-11,USA:9,,,,,,,,,Neisseria gonorrhoeae
54801221,SAMN54801221,,GCWGS-34167,pathogen.cl,Homo sapiens,2025-11,USA:9,,,,,,,,,Neisseria gonorrhoeae
54801220,SAMN54801220,,GCWGS-34166,pathogen.cl,Homo sapiens,2025-11,USA:9,,,,,,,,,Neisseria gonorrhoeae
54801219,SAMN54801219,,GCWGS-34165,pathogen.cl,Homo sapiens,2025-11,USA:9,,,,,,,,,Neisseria gonorrhoeae
54801218,SAMN54801218,,GCWGS-34164,pathogen.cl,Homo sapiens,2025-11,USA:9,,,,,,,,,Neisseria gonorrhoeae
54801217,SAMN54801217,,GCWGS-34163,pathogen.cl,Homo sapiens,2025-11,USA:9,,,,,,,,,Neisseria gonorrhoeae
54801216,SAMN54801216,,GCWGS-34162,pathogen.cl,Homo sapiens,2025-11,USA:9,,,,,,,,,Neisseria gonorrhoeae
54801215,SAMN54801215,,GCWGS-34161,pathogen.cl,Homo sapiens,2025-11,USA:9,,,,,,,,,Neisseria gonorrhoeae
54801214,SAMN54801214,,GCWGS-34160,pathogen.cl,Homo sapiens,2025-11,USA:9,,,,,,,,,Neisseria gonorrhoeae
54801213,SAMN54801213,,GCWGS-34159,pathogen.cl,Homo sapiens,2025-11,USA:9,,,,,,,,,Neisseria gonorrhoeae
54801212,SAMN54801212,,GCWGS-34158,pathogen.cl,Homo sapiens,2025-11,USA:9,,,,,,,,,Neisseria gonorrhoeae
54801211,SAMN54801211,,GCWGS-34157,pathogen.cl,Homo sapiens,2025-11,USA:9,,,,,,,,,Neisseria gonorrhoeae
54801210,SAMN54801210,,GCWGS-34156,pathogen.cl,Homo sapiens,2025-11,USA:9,,,,,,,,,Neisseria gonorrhoeae
54801209,SAMN54801209,,GCWGS-34155,pathogen.cl,Homo sapiens,2025-11,USA:9,,,,,,,,,Neisseria gonorrhoeae
54801208,SAMN54801208,,GCWGS-34154,pathogen.cl,Homo sapiens,2025-11,USA:9,,,,,,,,,Neisseria gonorrhoeae
54801207,SAMN54801207,,GCWGS-34153,pathogen.cl,Homo sapiens,2025-11,USA:9,,,,,,,,,Neisseria gonorrhoeae
54801206,SAMN54801206,,GCWGS-34152,pathogen.cl,Homo sapiens,2025-11,USA:9,,,,,,,,,Neisseria gonorrhoeae
54801205,SAMN54801205,,GCWGS-34151,pathogen.cl,Homo sapiens,2025-11,USA:9,,,,,,,,,Neisseria gonorrhoeae
54762842,SAMEA120959320,,,,,,,,,,,,,,,Neisseria gonorrhoeae
54762840,SAMEA120959355,,,,,,,,,,,,,,,Neisseria gonorrhoeae
54762713,SAMEA120959312,,,,,,,,,,,,,,,Neisseria gonorrhoeae
54762686,SAMEA120959330,,,,,,,,,,,,,,,Neisseria gonorrhoeae
54762648,SAMEA120959305,,,,,,,,,,,,,,,Neisseria gonorrhoeae
54762633,SAMEA120959345,,,,,,,,,,,,,,,Neisseria gonorrhoeae
54762500,SAMEA120959360,,,,,,,,,,,,,,,Neisseria gonorrhoeae
54762482,SAMEA120959328,,,,,,,,,,,,,,,Neisseria gonorrhoeae
54762431,SAMEA120959349,,,,,,,,,,,,,,,Neisseria gonorrhoeae
54762409,SAMEA120959310,,,,,,,,,,,,,,,Neisseria gonorrhoeae
54762396,SAMEA120959313,,,,,,,,,,,,,,,Neisseria gonorrhoeae
54762393,SAMEA120959336,,,,,,,,,,,,,,,Neisseria gonorrhoeae
54762360,SAMEA120959334,,,,,,,,,,,,,,,Neisseria gonorrhoeae
54762349,SAMEA120959308,,,,,,,,,,,,,,,Neisseria gonorrhoeae
54762272,SAMEA120959317,,,,,,,,,,,,,,,Neisseria gonorrhoeae
54762246,SAMEA120959341,,,,,,,,,,,,,,,Neisseria gonorrhoeae
54762245,SAMEA120959343,,,,,,,,,,,,,,,Neisseria gonorrhoeae
54762163,SAMEA120959347,,,,,,,,,,,,,,,Neisseria gonorrhoeae
54762156,SAMEA120959344,,,,,,,,,,,,,,,Neisseria gonorrhoeae
54762132,SAMEA120959324,,,,,,,,,,,,,,,Neisseria gonorrhoeae
54762034,SAMEA120959359,,,,,,,,,,,,,,,Neisseria gonorrhoeae
54761997,SAMEA120959307,,,,,,,,,,,,,,,Neisseria gonorrhoeae
54761989,SAMEA120959318,,,,,,,,,,,,,,,Neisseria gonorrhoeae
54761733,SAMEA120959321,,,,,,,,,,,,,,,Neisseria gonorrhoeae
54761721,SAMEA120959350,,,,,,,,,,,,,,,Neisseria gonorrhoeae
54761694,SAMEA120959357,,,,,,,,,,,,,,,Neisseria gonorrhoeae
54761690,SAMEA120959335,,,,,,,,,,,,,,,Neisseria gonorrhoeae
54761674,SAMEA120959316,,,,,,,,,,,,,,,Neisseria gonorrhoeae
54761673,SAMEA120959301,,,,,,,,,,,,,,,Neisseria gonorrhoeae
54761667,SAMEA120959319,,,,,,,,,,,,,,,Neisseria gonorrhoeae
54761612,SAMEA120959351,,,,,,,,,,,,,,,Neisseria gonorrhoeae
54761570,SAMEA120959325,,,,,,,,,,,,,,,Neisseria gonorrhoeae
54761568,SAMEA120959356,,,,,,,,,,,,,,,Neisseria gonorrhoeae
54761558,SAMEA120959353,,,,,,,,,,,,,,,Neisseria gonorrhoeae
54761529,SAMEA120959342,,,,,,,,,,,,,,,Neisseria gonorrhoeae
54761528,SAMEA120959323,,,,,,,,,,,,,,,Neisseria gonorrhoeae
