biosample_id,accession,organism,strain,isolation_source,host,collection_date,geo_loc_name,amr_genotypes,amr_phenotypes,disease,sra_accession,assembly_accession,assembly_status,ftp_path_refseq,ftp_path_genbank,organism_query
54875441,SAMD01607513,,Ocean-1187,,,2003,Pacific Ocean,,,,,,,,,Pseudomonas aeruginosa
54812904,SAMN54812904,,,milk,Cattle,2025-10-15,Bangladesh:Dhaka,,,,,,,,,Pseudomonas aeruginosa
54872160,SAMN54872160,,CCGC-5266,"Moscow, Russian Federation",Homo sapiens,2016-09-15,"Russia: Moscow, Botkin hospital",,,,,,,,,Pseudomonas aeruginosa
54870051,SAMN54870051,,,wound,Homo sapiens,2025,USA,,,,,,,,,Pseudomonas aeruginosa
54870013,SAMN54870013,,,urine,Homo sapiens,2026,USA,,,,,,,,,Pseudomonas aeruginosa
54807462,SAMN54807462,,Pseudomonas aeruginosaSRMPA1270,clinical,patient,2024,China: Hangzhou,,,,,,,,,Pseudomonas aeruginosa
54807461,SAMN54807461,,Pseudomonas aeruginosaSRMPA4678,clinical,patient,2024,China: Hangzhou,,,,,,,,,Pseudomonas aeruginosa
54807460,SAMN54807460,,Pseudomonas aeruginosaSRMPA2956,clinical,patient,2023,China: Hangzhou,,,,,,,,,Pseudomonas aeruginosa
54807459,SAMN54807459,,Pseudomonas aeruginosaSRMPA3740,clinical,patient,2023,China: Hangzhou,,,,,,,,,Pseudomonas aeruginosa
54807458,SAMN54807458,,Pseudomonas aeruginosaSRMPA6505,clinical,patient,2022,China: Hangzhou,,,,,,,,,Pseudomonas aeruginosa
54802633,SAMN54802633,,unknown,unknown,Homo sapiens,2025,USA,,,,,GCA_054656835.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/656/835/GCA_054656835.1_PDT003064137.1,Pseudomonas aeruginosa
54802631,SAMN54802631,,unknown,unknown,Homo sapiens,2025,USA,,,,,,,,,Pseudomonas aeruginosa
54802628,SAMN54802628,,unknown,unknown,Homo sapiens,2025,USA,,,,,GCA_054656875.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/656/875/GCA_054656875.1_PDT003064132.1,Pseudomonas aeruginosa
54802191,SAMN54802191,,,urine,Homo sapiens,2025-12-08,USA,,,,,GCA_054652295.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/652/295/GCA_054652295.1_PDT003063929.1,Pseudomonas aeruginosa
54801945,SAMN54801945,,,clinical,Homo sapiens,2026-01-15,USA: Wyoming,,,,,,,,,Pseudomonas aeruginosa
54801944,SAMN54801944,,,clinical,Homo sapiens,2026-01-07,USA: Wyoming,,,,,GCA_054651895.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/651/895/GCA_054651895.1_PDT003063865.1,Pseudomonas aeruginosa
54799539,SAMN54799539,,,Homo Sapiens clinical,Homo sapiens,2026-01-08,USA: Florida,,,,,GCA_054650235.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/650/235/GCA_054650235.1_PDT003063524.1,Pseudomonas aeruginosa
54799531,SAMN54799531,,,Homo Sapiens clinical,Homo sapiens,2026-01-01,USA: Florida,,,,,GCA_054650195.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/650/195/GCA_054650195.1_PDT003063532.1,Pseudomonas aeruginosa
54799530,SAMN54799530,,,Homo Sapiens clinical,Homo sapiens,2025-12-31,USA: Florida,,,,,GCA_054650255.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/650/255/GCA_054650255.1_PDT003063515.1,Pseudomonas aeruginosa
54799527,SAMN54799527,,,Homo Sapiens clinical,Homo sapiens,2025-12-31,USA: Florida,,,,,GCA_054650205.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/650/205/GCA_054650205.1_PDT003063518.1,Pseudomonas aeruginosa
54799522,SAMN54799522,,,Homo Sapiens clinical,Homo sapiens,2025-12-24,USA: Florida,,,,,GCA_054650175.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/650/175/GCA_054650175.1_PDT003063533.1,Pseudomonas aeruginosa
54771983,SAMN54771983,,,Water from the Qiantang River was supplemented with domestic sewage and incubated for two days,,2025-06-17,China,,,,,,,,,Pseudomonas aeruginosa
54768357,SAMN54768357,,2026HL-01023,wound,Homo sapiens,2025,USA,,,,,GCA_054598455.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/598/455/GCA_054598455.1_PDT003061982.1,Pseudomonas aeruginosa
54766677,SAMN54766677,,pasaR,,Homo sapiens,2025-06,"USA:Pittsburgh, PA",,,,,,,,,Pseudomonas aeruginosa
54766676,SAMN54766676,,phi83R,,Homo sapiens,2025-06,"USA:Pittsburgh, PA",,,,,,,,,Pseudomonas aeruginosa
54766675,SAMN54766675,,2753_S23,,Homo sapiens,2023-03,"USA:Pittsburgh, PA",,,,,,,,,Pseudomonas aeruginosa
54766674,SAMN54766674,,2753_S22,,Homo sapiens,2023-03,"USA:Pittsburgh, PA",,,,,,,,,Pseudomonas aeruginosa
54766673,SAMN54766673,,2753_S21,,Homo sapiens,2022-12,"USA:Pittsburgh, PA",,,,,,,,,Pseudomonas aeruginosa
