biosample_id,accession,organism,strain,isolation_source,host,collection_date,geo_loc_name,amr_genotypes,amr_phenotypes,disease,sra_accession,assembly_accession,assembly_status,ftp_path_refseq,ftp_path_genbank,organism_query
54875861,SAMN54875861,,,mobile device,,2020-04,Germany: Frankfurt am Main,,,,,,,,,Staphylococcus aureus
54875860,SAMN54875860,,,mobile device,,2019-07,Germany: Frankfurt am Main,,,,,,,,,Staphylococcus aureus
54875859,SAMN54875859,,,mobile device,,2019-06,Germany: Frankfurt am Main,,,,,,,,,Staphylococcus aureus
54875858,SAMN54875858,,,mobile device,,2019-06,Germany: Frankfurt am Main,,,,,,,,,Staphylococcus aureus
54875857,SAMN54875857,,,mobile device,,2019-06,Germany: Frankfurt am Main,,,,,,,,,Staphylococcus aureus
54875856,SAMN54875856,,,mobile device,,2019-05,Germany: Frankfurt am Main,,,,,,,,,Staphylococcus aureus
54875855,SAMN54875855,,,mobile device,,2019-05,Germany: Frankfurt am Main,,,,,,,,,Staphylococcus aureus
54875854,SAMN54875854,,,mobile device,,2019-05,Germany: Frankfurt am Main,,,,,,,,,Staphylococcus aureus
54875853,SAMN54875853,,,mobile device,,2019-05,Germany: Frankfurt am Main,,,,,,,,,Staphylococcus aureus
54762636,SAMEA120959364,,,nasal swab,,,,,,,,,,,,Staphylococcus aureus
54762357,SAMEA120959363,,,nasal swab,,,,,,,,,,,,Staphylococcus aureus
54762181,SAMEA120959365,,,nasal swab,,,,,,,,,,,,Staphylococcus aureus
54761842,SAMEA120959362,,,nasal swab,,,,,,,,,,,,Staphylococcus aureus
54760843,SAMEA120959361,,,nasal swab,,,,,,,,,,,,Staphylococcus aureus
54760743,SAMEA120959366,,,nasal swab,,,,,,,,,,,,Staphylococcus aureus
54748471,SAMEA116304291,,,,,,,,,,,,,,,Staphylococcus aureus
54748030,SAMEA116304417,,,,,,,,,,,,,,,Staphylococcus aureus
54747230,SAMEA116304362,,,,,,,,,,,,,,,Staphylococcus aureus
54746741,SAMEA116304296,,,,,,,,,,,,,,,Staphylococcus aureus
54746526,SAMEA116304084,,,,,,,,,,,,,,,Staphylococcus aureus
54745921,SAMEA116304299,,,,,,,,,,,,,,,Staphylococcus aureus
54745815,SAMEA116304628,,,,,,,,,,,,,,,Staphylococcus aureus
54745701,SAMEA116304239,,,,,,,,,,,,,,,Staphylococcus aureus
54745491,SAMEA116304392,,,,,,,,,,,,,,,Staphylococcus aureus
54744684,SAMEA116304525,,,,,,,,,,,,,,,Staphylococcus aureus
54744520,SAMEA116304411,,,,,,,,,,,,,,,Staphylococcus aureus
54103789,SAMN54103789,,not provided,sputum,Homo sapiens,2023-11,Kazakhstan: Karaganda,,,,,,,,,Staphylococcus aureus
54103788,SAMN54103788,,not provided,sputum,Homo sapiens,2023-10,Kazakhstan: Karaganda,,,,,,,,,Staphylococcus aureus
54103787,SAMN54103787,,not provided,sputum,Homo sapiens,2023-09,Kazakhstan: Karaganda,,,,,,,,,Staphylococcus aureus
54103786,SAMN54103786,,not provided,sputum,Homo sapiens,2023-03,Kazakhstan: Karaganda,,,,,,,,,Staphylococcus aureus
54103785,SAMN54103785,,not provided,sputum,Homo sapiens,2022-12,Kazakhstan: Karaganda,,,,,,,,,Staphylococcus aureus
54103784,SAMN54103784,,not provided,sputum,Homo sapiens,2022-11,Kazakhstan: Karaganda,,,,,,,,,Staphylococcus aureus
54103783,SAMN54103783,,not provided,sputum,Homo sapiens,2022-11,Kazakhstan: Karaganda,,,,,,,,,Staphylococcus aureus
54613047,SAMN54613047,,Sa43LFONT,milk,,2024,South Africa: Dr Kenneth Kaunda District Municipality,,,,,,,,,Staphylococcus aureus
54613046,SAMN54613046,,Sa3RFONT,milk,,2024,South Africa: Dr Kenneth Kaunda District Municipality,,,,,,,,,Staphylococcus aureus
54613045,SAMN54613045,,Sa50RH,milk,,2024,South Africa: Dr Kenneth Kaunda District Municipality,,,,,,,,,Staphylococcus aureus
54613044,SAMN54613044,,Sa45RF2,milk,,2024,South Africa: Dr Kenneth Kaunda District Municipality,,,,,,,,,Staphylococcus aureus
54613043,SAMN54613043,,Sa25LH1,milk,,2024,South Africa: Dr Kenneth Kaunda District Municipality,,,,,,,,,Staphylococcus aureus
54727120,SAMN54727120,,IMRA191,wound,Homo sapiens,2021-01-08,Malaysia: Selangor,,,,,,,,,Staphylococcus aureus
54693082,SAMEA120862935,,,,,,,,,,,,,,,Staphylococcus aureus
54712450,SAMN54712450,,ST152,wheelchair handle,not applicable,2020-01-16,Tanzania: Mwanza,,,,,,,,,Staphylococcus aureus
54712436,SAMN54712436,,ST8,rectal swab,Homo sapiens,2020-04-06,Tanzania: Mwanza,,,,,,,,,Staphylococcus aureus
54692311,SAMN54692311,,UMB1068,,Homo sapiens,NA,NA,,,,,,,,,Staphylococcus aureus
54685747,SAMN54685747,,not applicable,Tumour,Homo sapiens,2021-10-12,Australia: Adelaide,,,,,,,,,Staphylococcus aureus
54685742,SAMN54685742,,not applicable,Tumour,Homo sapiens,2021-10-12,Australia: Adelaide,,,,,,,,,Staphylococcus aureus
54685719,SAMN54685719,,not applicable,Oral swab,Homo sapiens,2021-08-10,Australia: Adelaide,,,,,,,,,Staphylococcus aureus
