biosample_id,accession,organism,strain,isolation_source,host,collection_date,geo_loc_name,amr_genotypes,amr_phenotypes,disease,sra_accession,assembly_accession,assembly_status,ftp_path_refseq,ftp_path_genbank,organism_query
54804769,SAMN54804769,,,,Homo sapiens,,,,,,,,,,,Streptococcus pyogenes
54804768,SAMN54804768,,,,Homo sapiens,,,,,,,,,,,Streptococcus pyogenes
54804766,SAMN54804766,,,,Homo sapiens,,,,,,,,,,,Streptococcus pyogenes
54804765,SAMN54804765,,,,Homo sapiens,,,,,,,,,,,Streptococcus pyogenes
54800774,SAMN54800774,,,wound,Homo sapiens,2026-01-05,USA:RI,,,,,GCA_054647675.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/647/675/GCA_054647675.1_PDT003063824.1,Streptococcus pyogenes
54754371,SAMN54754371,,,blood,Homo sapiens,2026,USA,,,,,GCA_054557725.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/557/725/GCA_054557725.1_PDT003059746.1,Streptococcus pyogenes
54754370,SAMN54754370,,,blood,Homo sapiens,2025,USA,,,,,GCA_054557705.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/557/705/GCA_054557705.1_PDT003059747.1,Streptococcus pyogenes
54693079,SAMEA120862975,,,,,,,,,,,,,,,Streptococcus pyogenes
54711216,SAMN54711216,,,blood,Homo sapiens,2026-01-04,USA:RI,,,,,GCA_054509325.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/509/325/GCA_054509325.1_PDT003055263.1,Streptococcus pyogenes
54711215,SAMN54711215,,,blood,Homo sapiens,2025-01-03,USA:MA,,,,,GCA_054509505.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/509/505/GCA_054509505.1_PDT003055265.1,Streptococcus pyogenes
54711214,SAMN54711214,,,wound,Homo sapiens,2025-12-30,USA:RI,,,,,GCA_054509345.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/509/345/GCA_054509345.1_PDT003055264.1,Streptococcus pyogenes
54711213,SAMN54711213,,,blood,Homo sapiens,2025-12-29,USA:RI,,,,,GCA_054509465.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/509/465/GCA_054509465.1_PDT003055266.1,Streptococcus pyogenes
54711212,SAMN54711212,,,blood,Homo sapiens,2025-12-31,USA:RI,,,,,GCA_054509485.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/509/485/GCA_054509485.1_PDT003055267.1,Streptococcus pyogenes
54711211,SAMN54711211,,,blood,Homo sapiens,2025-12-24,USA:RI,,,,,GCA_054509445.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/509/445/GCA_054509445.1_PDT003055268.1,Streptococcus pyogenes
54529573,SAMN54529573,,,,Homo sapiens,,,,,,,GCA_054416215.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/416/215/GCA_054416215.1_PDT003048773.1,Streptococcus pyogenes
54529572,SAMN54529572,,,,Homo sapiens,,,,,,,GCA_054416195.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/416/195/GCA_054416195.1_PDT003048774.1,Streptococcus pyogenes
54529566,SAMN54529566,,,,Homo sapiens,,,,,,,GCA_054416175.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/416/175/GCA_054416175.1_PDT003048785.1,Streptococcus pyogenes
54680650,SAMN54680650,,LACPHL-SPEC-2026-00032,,Homo sapiens,,,,,,,GCA_054504375.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/504/375/GCA_054504375.1_PDT003054869.1,Streptococcus pyogenes
54680649,SAMN54680649,,LACPHL-SPEC-2026-00031,,Homo sapiens,,,,,,,GCA_054504425.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/504/425/GCA_054504425.1_PDT003054870.1,Streptococcus pyogenes
54680647,SAMN54680647,,LACPHL-SPEC-2026-00029,,Homo sapiens,,,,,,,GCA_054505365.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/505/365/GCA_054505365.1_PDT003054872.1,Streptococcus pyogenes
54680645,SAMN54680645,,LACPHL-SPEC-2026-00027,,Homo sapiens,,,,,,,GCA_054505345.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/505/345/GCA_054505345.1_PDT003054874.1,Streptococcus pyogenes
54680644,SAMN54680644,,LACPHL-SPEC-2026-00026,,Homo sapiens,,,,,,,GCA_054505305.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/505/305/GCA_054505305.1_PDT003054875.1,Streptococcus pyogenes
54680641,SAMN54680641,,LACPHL-SPEC-2026-00023,,Homo sapiens,,,,,,,GCA_054505525.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/505/525/GCA_054505525.1_PDT003054863.1,Streptococcus pyogenes
54680640,SAMN54680640,,LACPHL-SPEC-2026-00022,,Homo sapiens,,,,,,,GCA_054505505.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/505/505/GCA_054505505.1_PDT003054864.1,Streptococcus pyogenes
54680639,SAMN54680639,,LACPHL-SPEC-2026-00021,,Homo sapiens,,,,,,,GCA_054505485.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/505/485/GCA_054505485.1_PDT003054865.1,Streptococcus pyogenes
54680638,SAMN54680638,,LACPHL-SPEC-2026-00020,,Homo sapiens,,,,,,,GCA_054505425.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/505/425/GCA_054505425.1_PDT003054866.1,Streptococcus pyogenes
54680637,SAMN54680637,,LACPHL-SPEC-2026-00019,,Homo sapiens,,,,,,,GCA_054505445.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/505/445/GCA_054505445.1_PDT003054867.1,Streptococcus pyogenes
54680636,SAMN54680636,,LACPHL-SPEC-2026-00018,,Homo sapiens,,,,,,,GCA_054505465.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/505/465/GCA_054505465.1_PDT003054868.1,Streptococcus pyogenes
